RF670,M1,M2,
99.6474,0,0,
96.3128,1,0,
88.9103,2,0,
78.4794,3,0,
71.5709,3.5,0,
61.6504,4,0,
44.4495,4.5,0,
36.9771,4.75,0,
31.544,5,0,
27.4737,5.25,0,
21.6047,5.5,0,
17.073,5.75,0,
13.042,6,0,
11.3282,6.2,0,
9.42257,6.4,0,
7.8197,6.6,0,
7.39975,6.8,0,
6.87203,7,0,
108.793,-1,0,
108.07,-2,0,
97.8968,-3,0,
86.8919,-3.5,0,
65.5597,-4,0,
49.9111,-4.5,0,
39.3322,-4.75,0,
24.77,-5,0,
16.588,-5.25,0,
12.0079,-5.3,0,
9.86603,-5.35,0,26.2703
7.1712,-5.4,0,
5.778,-5.45,0,
4.14,-5.5,0,
2.753,-5.55,0,
1.8,-5.6,0,
2.3071,-5.65,0,
3.14282,-5.7,0,
4.10269,-5.75,0,17.3585
5.25317,-5.8,0,
6.21996,-5.85,0,
7.02434,-5.9,0,
7.67042,-5.95,0,
8.33627,-6,0,
8.81973,-6.05,0,
12.4364,-6.1,0,
11.7125,-6.15,0,
11.2522,-6.2,0,
9.81958,-6.25,0,
9.77092,-6.3,0,
9.6822,-6.35,0,
9.35096,-6.4,0,
8.85963,-6.45,0,
8.91214,-6.5,0,
8.29502,-6.55,0,
8.1283,-6.6,0,
7.27518,-6.7,0,
6.05268,-6.8,0,
4.3625,-6.9,0,
3.307,-7,0,
6.245,-7,1,
3.86,-7,-1,
6.4286,-7,-2,
9.21809,-7,-3,
9.24414,-7,-3.15,
9.21498,-7,-3.25,
8.82586,-7,-3.5,
7.61366,-7,-3.75,
4.5301,-7,-4,
3.037,-7,1,
1.6002,-7,2,
2.79858,-7,3,
