#PicoHarp 300  Histogram Data			04/11/2023 06:39:29 PM
#channels per curve
65536
#display curve no.
0	1	2	
#memory block no.
0	1	2	
#ns/channel
0.1280	0.1280	0.1280	
#counts
1696	1825	1887	
1719	1845	1806	
1888	1936	1914	
1803	2000	1896	
1829	1832	1959	
1821	1876	1872	
1808	1882	1925	
1793	1853	2000	
1798	1839	1925	
1836	1906	1837	
1808	1923	1871	
1714	1927	1819	
1727	1994	1886	
1869	1914	1873	
1767	1833	1798	
1759	1902	1898	
1725	1993	1926	
1834	1890	1849	
1699	1812	1883	
1798	1905	1860	
1735	1876	1908	
1791	1942	1827	
1791	1942	1937	
1805	1833	1914	
1795	1919	1827	
1808	1883	1917	
1732	1897	1954	
1756	1819	1901	
1728	1875	1902	
1799	1870	1819	
1786	1878	1866	
1737	1857	1931	
1779	1889	1945	
1772	1963	1872	
1717	1923	1865	
1779	1858	1824	
1746	1826	1898	
1833	1866	1899	
1765	1875	1820	
1846	1934	1907	
1759	1888	1927	
1824	1807	1834	
1755	1873	1897	
1742	1872	1857	
1760	1920	1899	
1784	1846	1860	
1819	1888	1736	
1819	1885	1769	
1814	1834	1929	
1872	1848	1846	
1795	1868	1916	
1785	1941	1824	
1775	1932	1878	
1798	1820	1905	
1803	1850	1804	
1827	1875	1817	
1786	1887	1802	
1858	1858	1808	
1763	1839	1862	
1803	1883	1797	
1774	1888	1851	
1769	1900	1788	
1726	1862	1825	
1834	1798	1792	
1821	1926	1757	
1855	1852	1858	
1794	1810	1811	
1890	1851	1797	
1856	1954	1841	
1857	1806	1860	
1959	1768	1802	
1895	1898	1775	
1847	1808	1764	
1864	1788	1846	
1839	1878	1777	
1927	1881	1844	
1872	1812	1823	
1889	1835	1776	
1900	1864	1767	
1868	1808	1770	
1820	1871	1777	
1858	1849	1748	
1794	1857	1802	
1880	1804	1726	
1827	1927	1771	
1829	1835	1735	
1840	1877	1763	
1837	1957	1838	
1911	1851	1776	
1962	1810	1828	
1901	1829	1787	
1921	1865	1694	
1877	1818	1739	
1831	1842	1742	
1872	1883	1721	
1893	1879	1733	
1856	1830	1761	
1882	1837	1786	
1909	1916	1786	
1845	1894	1724	
1891	1889	1784	
2000	1877	1789	
1840	1878	1807	
1912	1860	1744	
1888	1852	1778	
1873	1900	1798	
1907	1852	1792	
1933	1795	1771	
1915	1918	1783	
1870	1923	1757	
1891	1941	1796	
1907	1887	1801	
1858	1834	1816	
1852	1949	1711	
1862	1880	1764	
1881	1976	1745	
1937	1866	1782	
1846	1855	1788	
1798	1813	1713	
1958	1853	1829	
1896	1849	1763	
1828	1830	1852	
1883	1876	1799	
1839	1836	1741	
1764	1873	1843	
1852	1830	1750	
1911	1798	1760	
1828	1781	1839	
1819	1942	1764	
1862	1874	1738	
1797	1851	1975	
1815	1821	1808	
1810	1829	1922	
1793	1786	1743	
1816	1846	1839	
1774	1808	1792	
1777	1875	1873	
1740	1901	1797	
1783	1881	1757	
1785	1813	1780	
1772	1818	1801	
1797	1861	1787	
1845	1819	1845	
1783	1868	1828	
1748	1938	1841	
1730	1847	1810	
1831	1889	1917	
1780	1781	1822	
1774	1905	1848	
1743	1756	1808	
1764	1855	1765	
1803	1886	1855	
1781	1781	1832	
1823	1842	1928	
1729	1873	1813	
1787	1846	1785	
1763	1896	1885	
1823	1860	1852	
1801	1836	1836	
1674	1811	1833	
1675	1860	1828	
1801	1850	1840	
1669	1878	1824	
1807	1855	1745	
1773	1818	1857	
1733	1918	1818	
1782	1860	1895	
1677	1751	1851	
1666	1748	1849	
1726	1869	1862	
1752	1935	1804	
1677	1840	1839	
1719	1869	1855	
1698	1858	1798	
1700	1855	1794	
1682	1793	1846	
1702	1818	1894	
1732	1767	1786	
1729	1849	1792	
1716	1864	1825	
1698	1865	1769	
1673	1868	1855	
1700	1820	1833	
1665	1922	1836	
1709	1860	1855	
1761	1827	1862	
1721	1832	1778	
1660	1812	1841	
1740	1863	1844	
1760	1894	1815	
1767	1813	1849	
1677	1799	1837	
1673	1789	1786	
1759	1776	1781	
1726	1838	1797	
1612	1899	1781	
1613	1827	1845	
1686	1754	1745	
1647	1865	1883	
1739	1819	1765	
1706	1799	1834	
1782	1782	1771	
1710	1883	1829	
1653	1839	1920	
1714	1909	1828	
1697	1855	1839	
1779	1826	1854	
1710	1770	1877	
1737	1835	1783	
1711	1742	1810	
1748	1866	1777	
1755	1862	1729	
1683	1836	1840	
1748	1806	1769	
1741	1805	1862	
1760	1739	1830	
1714	1801	1801	
1736	1868	1803	
1758	1813	1797	
1704	1798	1831	
1735	1821	1782	
1723	1837	1776	
1672	1844	1747	
1763	1845	1810	
1710	1875	1734	
1739	1840	1804	
1702	1857	1768	
1741	1776	1728	
1758	1798	1716	
1749	1789	1754	
1775	1854	1782	
1767	1757	1764	
1726	1793	1740	
1789	1788	1782	
1805	1801	1718	
1791	1792	1809	
1773	1798	1680	
1817	1771	1825	
1770	1857	1727	
1747	1769	1764	
1697	1763	1674	
1838	1824	1738	
1739	1814	1728	
1798	1851	1723	
1719	1871	1744	
1709	1821	1816	
1760	1864	1733	
1876	1809	1692	
1824	1792	1748	
1748	1778	1732	
1787	1788	1736	
1803	1850	1618	
1805	1809	1642	
1881	1726	1735	
1791	1804	1819	
1895	1864	1662	
1771	1815	1788	
1780	1864	1699	
1844	1747	1797	
1774	1844	1739	
1818	1774	1740	
1783	1683	1675	
