#PicoHarp 300  Histogram Data			04/04/2023 01:37:53 PM
#channels per curve
65536
#display curve no.
0	1	2	
#memory block no.
0	1	2	
#ns/channel
0.1280	0.1280	0.1280	
#counts
1851	1753	1804	
1891	1736	1934	
1866	1782	1894	
1926	1843	1999	
1929	1763	1947	
1902	1802	1933	
1986	1822	1945	
1945	1868	1838	
1946	1745	1908	
1903	1733	1950	
1880	1738	1970	
1898	1777	1867	
1966	1841	1960	
1896	1769	1828	
1928	1740	1886	
1881	1900	1955	
1956	1782	1886	
1828	1773	1828	
1910	1773	1827	
1834	1807	1874	
2000	1862	1907	
1990	1719	1918	
1937	1786	1916	
1982	1805	1860	
1849	1764	1880	
1934	1719	1918	
1927	1778	1877	
1910	1810	1807	
1890	1784	1893	
1922	1832	1833	
1922	1830	1940	
1891	1789	1862	
1918	1760	1933	
1940	1885	1861	
1878	1827	1912	
1876	1816	1901	
1959	1750	2000	
1832	1783	1939	
1910	1761	1857	
1918	1765	1925	
1874	1779	1838	
1840	1929	1936	
1949	1828	1853	
1833	1763	1868	
1917	1757	1873	
1900	1753	1815	
1872	1798	1824	
1870	1845	1879	
1817	1802	1866	
1918	1896	1937	
1951	1839	1873	
1779	1773	1817	
1900	1855	1877	
1874	1869	1824	
1831	1796	1889	
1841	1766	1919	
1796	1831	1887	
1822	1792	1902	
1796	1805	1901	
1898	1886	1839	
1769	1809	1855	
1794	1805	1903	
1738	1883	1810	
1802	1818	1855	
1856	1756	1908	
1778	1893	1832	
1812	1884	1835	
1808	1874	1897	
1870	1869	1855	
1807	1934	1797	
1713	1856	1880	
1830	1883	1804	
1746	1915	1957	
1753	1904	1851	
1797	1877	1793	
1766	1927	1859	
1809	1910	1813	
1780	1880	1872	
1753	1879	1837	
1768	1902	1821	
1824	1848	1880	
1763	1972	1870	
1674	1950	1853	
1685	1866	1853	
1730	1855	1774	
1667	1913	1806	
1762	1920	1785	
1624	1838	1889	
1790	1851	1695	
1766	1886	1822	
1675	1916	1796	
1695	1945	1841	
1730	1958	1812	
1733	1875	1843	
1802	1972	1837	
1740	1908	1881	
1759	1922	1853	
1767	1950	1751	
1719	1887	1884	
1798	2000	1842	
1642	1991	1793	
1704	1900	1830	
1711	1895	1838	
1646	1992	1815	
1733	1934	1887	
1682	1881	1774	
1724	1948	1813	
1706	1937	1799	
1655	1852	1839	
1808	1938	1846	
1667	1860	1803	
1708	1893	1814	
1724	1936	1824	
1761	1950	1857	
1711	1960	1786	
1764	1901	1814	
1724	1964	1850	
1600	1912	1833	
1742	1932	1848	
1729	1883	1864	
1652	1972	1810	
1751	1935	1829	
1702	1995	1803	
1734	1878	1855	
1724	1911	1922	
1747	1943	1800	
1752	1875	1836	
1690	1857	1866	
1788	1845	1785	
1736	1929	1864	
1753	1879	1823	
1707	1942	1867	
1672	1874	1829	
1731	1907	1817	
1734	1818	1868	
1786	1877	1849	
1774	1845	1811	
1797	1805	1847	
1724	1840	1833	
1728	1803	1908	
1770	1901	1841	
1786	1830	1826	
1825	1819	1863	
1810	1754	1768	
1835	1783	1900	
1777	1853	1831	
1801	1784	1852	
1841	1838	1841	
1767	1842	1860	
1786	1867	1878	
1766	1767	1879	
1765	1866	1813	
1757	1801	1755	
1816	1832	1817	
1797	1770	1861	
1798	1717	1868	
1827	1756	1833	
1843	1844	1829	
1786	1826	1815	
1823	1792	1876	
1883	1739	1762	
1843	1816	1871	
1735	1818	1835	
1811	1787	1853	
1772	1703	1801	
1854	1726	1810	
1807	1801	1828	
1843	1779	1785	
1813	1781	1889	
1897	1779	1925	
1877	1760	1828	
1773	1838	1778	
1923	1719	1868	
1893	1788	1850	
1864	1803	1801	
1859	1724	1760	
1775	1838	1850	
1876	1806	1820	
1813	1797	1745	
1843	1729	1791	
1803	1705	1876	
1937	1704	1786	
1881	1745	1843	
1890	1681	1788	
1794	1655	1826	
1811	1736	1806	
1871	1681	1758	
1872	1706	1840	
1891	1767	1797	
1804	1709	1852	
1852	1744	1801	
1832	1789	1801	
1873	1765	1720	
1909	1740	1820	
1838	1682	1834	
1916	1680	1835	
1867	1751	1832	
1925	1772	1737	
1780	1697	1788	
1797	1649	1764	
1787	1701	1809	
1834	1772	1804	
1749	1825	1868	
1890	1669	1768	
1908	1681	1747	
1840	1763	1814	
1826	1768	1835	
1832	1750	1801	
1837	1790	1822	
1763	1746	1801	
1766	1698	1834	
1766	1721	1725	
1712	1767	1836	
1777	1803	1726	
1779	1805	1795	
1732	1736	1762	
1839	1688	1817	
1847	1743	1812	
1823	1829	1800	
1754	1740	1836	
1803	1753	1820	
1824	1834	1762	
1825	1821	1845	
1801	1778	1685	
1767	1775	1763	
1770	1784	1730	
1720	1808	1775	
1713	1813	1776	
1735	1812	1791	
1778	1667	1733	
1739	1757	1863	
1749	1727	1843	
1757	1876	1839	
1743	1787	1819	
1775	1824	1784	
1762	1770	1771	
1631	1852	1759	
1733	1776	1732	
1708	1755	1788	
1662	1885	1801	
1731	1761	1741	
1756	1891	1763	
1606	1868	1704	
1665	1757	1738	
1699	1867	1727	
1658	1792	1790	
1649	1817	1748	
1707	1862	1790	
1678	1867	1737	
1671	1732	1735	
1697	1848	1791	
1678	1851	1743	
1697	1889	1801	
1745	1777	1749	
1666	1750	1843	
1639	1812	1837	
1636	1815	1783	
1645	1898	1751	
1640	1884	1747	
1637	1885	1738	
1626	1840	1720	
1621	1853	1811	
