#PicoHarp 300  Histogram Data			04/04/2023 04:46:22 PM
#channels per curve
65536
#display curve no.
0	1	2	3	4	
#memory block no.
0	1	2	3	4	
#ns/channel
0.1280	0.1280	0.1280	0.1280	0.1280	
#counts
1755	1807	1723	1786	1889	
1895	1818	1710	1799	1890	
1796	1874	1737	1830	1977	
1988	1842	1845	1895	2000	
1862	1916	1831	1800	1880	
1888	1876	1782	2000	1930	
1866	1892	1777	1801	1911	
1839	1883	1794	1795	1935	
1922	1829	1749	1806	1915	
1798	1825	1750	1850	1898	
1887	1800	1661	1737	1893	
1841	1877	1740	1689	1833	
1870	1875	1770	1745	1911	
1919	1820	1693	1789	1870	
1899	1777	1665	1733	1894	
1801	1762	1729	1762	1903	
1860	1763	1755	1808	1896	
1815	1726	1709	1795	1867	
1956	1806	1756	1744	1828	
1796	1747	1617	1773	1902	
1876	1780	1662	1824	1824	
1901	1857	1696	1707	1911	
1893	1789	1755	1772	1951	
1841	1821	1759	1800	1888	
1892	1763	1707	1766	1978	
1921	1925	1742	1733	1900	
1818	1800	1741	1836	1928	
1829	1793	1694	1669	1862	
1796	1834	1648	1759	1884	
1797	1755	1672	1777	1875	
1851	1730	1657	1799	1835	
1893	1806	1774	1733	1893	
1884	1708	1732	1823	1829	
1879	1864	1780	1798	1885	
1820	1811	1739	1653	1916	
1915	1747	1672	1770	1883	
1811	1754	1843	1804	1871	
1907	1790	1713	1800	1919	
1912	1847	1722	1822	1945	
1930	1780	1775	1814	1923	
1903	1773	1766	1796	1864	
1936	1808	1704	1780	1918	
1845	1798	1679	1770	1850	
1822	1874	1708	1783	1828	
1875	1821	1757	1746	1778	
1844	1702	1709	1811	1901	
1852	1851	1798	1740	1883	
1825	1826	1737	1731	1880	
1814	1772	1723	1774	1863	
1835	1823	1778	1827	1838	
1842	1888	1749	1739	1852	
1846	1797	1752	1794	1824	
1849	1860	1879	1769	1833	
1873	1793	1872	1809	1926	
1865	1867	1714	1807	1814	
1849	1716	1747	1762	1811	
1783	1751	1760	1753	1890	
1841	1741	1846	1701	1847	
1914	1784	1765	1737	1886	
1832	1919	1736	1732	1829	
2000	1887	1805	1765	1860	
1907	1849	1804	1746	1845	
1831	1855	1816	1766	1786	
1840	1836	1825	1752	1944	
1866	1865	1721	1735	1802	
1905	1907	1830	1783	1877	
1861	1806	1873	1759	1857	
1897	1886	1947	1778	1822	
1908	1855	1839	1701	1912	
1913	1820	1785	1765	1845	
1894	1976	1800	1774	1779	
1943	1840	1846	1761	1838	
1801	1878	1828	1783	1788	
1890	1841	1816	1729	1820	
1903	1939	1852	1764	1763	
1840	1904	1835	1703	1783	
1958	1846	1830	1744	1812	
1942	1914	1888	1684	1875	
1937	1882	1892	1875	1784	
1896	1856	1832	1728	1825	
1886	1935	1820	1687	1846	
1944	1906	1849	1837	1800	
1904	1928	1949	1728	1789	
1884	1853	1836	1814	1805	
1878	1898	1875	1750	1825	
1903	1940	1853	1814	1770	
1910	1958	1961	1826	1826	
1809	1849	1853	1780	1864	
1937	1884	1913	1763	1758	
1872	1858	1902	1794	1756	
1813	1879	1924	1719	1837	
1840	1952	1973	1766	1772	
1837	1916	1920	1748	1705	
1905	1952	1842	1743	1796	
1921	1901	1875	1777	1834	
1870	1912	1888	1741	1872	
1920	1898	1849	1808	1835	
1840	1974	1916	1677	1804	
1901	1881	1800	1802	1706	
1859	1854	1871	1788	1870	
1882	1961	2000	1763	1837	
1919	1964	1959	1682	1796	
1846	1939	1924	1735	1866	
1843	1959	1964	1649	1818	
1960	1889	1852	1805	1832	
1957	1923	1973	1716	1789	
1882	1821	1988	1735	1777	
1831	1977	1944	1745	1785	
1907	1940	1931	1789	1815	
1884	1979	1915	1794	1820	
1985	1879	1849	1726	1771	
1907	1941	1875	1781	1764	
1873	1901	1826	1730	1804	
1933	1908	1945	1760	1833	
1974	1897	1867	1780	1726	
1959	1853	1924	1727	1838	
1883	1957	1852	1730	1801	
1942	1961	1837	1806	1840	
1848	1903	1807	1817	1767	
1903	1975	1872	1681	1731	
1920	1934	1901	1761	1852	
1894	1872	1893	1738	1810	
1888	1834	1909	1704	1770	
1850	1891	1892	1786	1831	
1904	1922	1931	1799	1797	
