Jul 07, 2023  10:22:34 AM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.40E-004 
Filament Current, 1.00, mAmps


  1.00,   3.68E-010, 
  1.10,   6.88E-010, 
  1.20,   3.32E-009, 
  1.30,   4.28E-009, 
  1.40,   1.86E-009, 
  1.50,   3.51E-009, 
  1.60,   6.07E-009, 
  1.70,   1.27E-008, 
  1.80,   2.28E-008, 
  1.90,   3.19E-008, 
  2.00,   3.45E-008, 
  2.10,   3.08E-008, 
  2.20,   2.34E-008, 
  2.30,   8.92E-009, 
  2.40,   4.50E-010, 
  2.50,   5.36E-011, 
  2.60,   1.49E-011, 
  2.70,   6.71E-012, 
  2.80,   4.68E-012, 
  2.90,   4.58E-012, 
  3.00,   4.45E-012, 
  3.10,   4.01E-012, 
  3.20,   3.36E-012, 
  3.30,   2.38E-012, 
  3.40,   1.26E-012, 
  3.50,   8.74E-013, 
  3.60,   8.85E-013, 
  3.70,   1.70E-012, 
  3.80,   3.06E-012, 
  3.90,   4.48E-012, 
  4.00,   4.92E-012, 
  4.10,   5.12E-012, 
  4.20,   4.20E-012, 
  4.30,   2.45E-012, 
  4.40,   9.80E-013, 
  4.50,   4.81E-013, 
  4.60,   2.71E-013, 
  4.70,   2.11E-013, 
  4.80,   1.46E-013, 
  4.90,   1.26E-013, 
  5.00,   7.30E-014, 
  5.10,   3.27E-014, 
  5.20,   2.57E-014, 
  5.30,   6.19E-014, 
  5.40,   3.41E-014, 
  5.50,   1.81E-014, 
  5.60,   1.67E-014, 
  5.70,   8.49E-014, 
  5.80,   5.08E-014, 
  5.90,   5.84E-014, 
  6.00,   4.17E-014, 
  6.10,   1.20E-013, 
  6.20,   5.70E-014, 
  6.30,   6.05E-014, 
  6.40,  -5.98E-014, 
  6.50,  -3.34E-014, 
  6.60,  -5.36E-014, 
  6.70,  -1.67E-014, 
  6.80,  -9.74E-015, 
  6.90,   1.95E-014, 
  7.00,   6.96E-015, 
  7.10,   2.16E-014, 
  7.20,   9.74E-015, 
  7.30,  -6.05E-014, 
  7.40,  -6.19E-014, 
  7.50,  -2.36E-014, 
  7.60,   4.94E-014, 
  7.70,   2.34E-013, 
  7.80,   3.74E-013, 
  7.90,   4.43E-013, 
  8.00,   4.48E-013, 
  8.10,   4.55E-013, 
  8.20,   3.75E-013, 
  8.30,   2.74E-013, 
  8.40,   1.34E-013, 
  8.50,   1.37E-013, 
  8.60,   8.21E-014, 
  8.70,   5.98E-014, 
  8.80,   7.72E-014, 
  8.90,   4.66E-014, 
  9.00,   5.91E-014, 
  9.10,   6.96E-014, 
  9.20,   7.51E-014, 
  9.30,   5.98E-014, 
  9.40,   6.26E-015, 
  9.50,  -7.51E-014, 
  9.60,  -5.49E-014, 
  9.70,  -7.51E-014, 
  9.80,  -4.73E-014, 
  9.90,   1.46E-014, 
 10.00,   5.56E-015, 
 10.10,   4.94E-014, 
 10.20,   7.65E-015, 
 10.30,   3.48E-014, 
 10.40,   1.04E-014, 
 10.50,   9.32E-014, 
 10.60,   1.36E-013, 
 10.70,   1.26E-013, 
 10.80,   1.82E-013, 
 10.90,   2.09E-013, 
 11.00,   4.27E-013, 
 11.10,   6.11E-013, 
 11.20,   8.51E-013, 
 11.30,   1.70E-012, 
 11.40,   3.34E-012, 
 11.50,   1.01E-011, 
 11.60,   4.29E-011, 
 11.70,   9.95E-011, 
 11.80,   1.26E-010, 
 11.90,   1.38E-010, 
 12.00,   1.43E-010, 
 12.10,   1.28E-010, 
 12.20,   9.57E-011, 
 12.30,   4.30E-011, 
 12.40,   5.81E-012, 
 12.50,   2.00E-012, 
 12.60,   1.62E-012, 
 12.70,   2.67E-012, 
 12.80,   3.77E-012, 
 12.90,   5.21E-012, 
 13.00,   5.55E-012, 
 13.10,   5.85E-012, 
 13.20,   5.46E-012, 
 13.30,   4.70E-012, 
 13.40,   4.57E-012, 
 13.50,   1.12E-011, 
 13.60,   3.93E-011, 
 13.70,   7.80E-011, 
 13.80,   9.74E-011, 
 13.90,   1.09E-010, 
 14.00,   1.09E-010, 
 14.10,   9.93E-011, 
 14.20,   8.01E-011, 
 14.30,   4.27E-011, 
 14.40,   9.94E-012, 
 14.50,   7.57E-012, 
 14.60,   1.86E-011, 
 14.70,   4.56E-011, 
 14.80,   6.15E-011, 
 14.90,   6.93E-011, 
 15.00,   7.59E-011, 
 15.10,   7.49E-011, 
 15.20,   7.54E-011, 
 15.30,   7.73E-011, 
 15.40,   1.02E-010, 
 15.50,   2.67E-010, 
 15.60,   7.46E-010, 
 15.70,   1.40E-009, 
 15.80,   1.73E-009, 
 15.90,   1.86E-009, 
 16.00,   1.88E-009, 
 16.10,   1.75E-009, 
 16.20,   1.47E-009, 
 16.30,   8.34E-010, 
 16.40,   2.18E-010, 
 16.50,   5.29E-010, 
 16.60,   1.54E-009, 
 16.70,   2.64E-009, 
 16.80,   3.18E-009, 
 16.90,   3.40E-009, 
 17.00,   3.45E-009, 
 17.10,   3.18E-009, 
 17.20,   2.70E-009, 
 17.30,   1.76E-009, 
 17.40,   7.11E-010, 
 17.50,   1.76E-009, 
 17.60,   5.48E-009, 
 17.70,   1.01E-008, 
 17.80,   1.27E-008, 
 17.90,   1.34E-008, 
 18.00,   1.36E-008, 
 18.10,   1.26E-008, 
 18.20,   1.07E-008, 
 18.30,   6.94E-009, 
 18.40,   8.90E-010, 
 18.50,   2.09E-010, 
 18.60,   4.64E-010, 
 18.70,   8.11E-010, 
 18.80,   1.03E-009, 
 18.90,   1.13E-009, 
 19.00,   1.17E-009, 
 19.10,   1.12E-009, 
 19.20,   9.38E-010, 
 19.30,   5.67E-010, 
 19.40,   7.75E-011, 
 19.50,   1.25E-011, 
 19.60,   1.25E-011, 
 19.70,   2.15E-011, 
 19.80,   2.71E-011, 
 19.90,   2.98E-011, 
 20.00,   2.96E-011, 
 20.10,   2.82E-011, 
 20.20,   2.54E-011, 
 20.30,   1.88E-011, 
 20.40,   8.12E-012, 
 20.50,   2.14E-012, 
 20.60,   9.01E-013, 
 20.70,   4.97E-013, 
 20.80,   2.62E-013, 
 20.90,   1.00E-013, 
 21.00,   3.13E-014, 
 21.10,   8.35E-015, 
 21.20,   1.65E-013, 
 21.30,   1.86E-013, 
 21.40,   2.75E-013, 
 21.50,   9.48E-013, 
 21.60,   3.39E-012, 
 21.70,   8.67E-012, 
 21.80,   1.28E-011, 
 21.90,   1.35E-011, 
 22.00,   1.39E-011, 
 22.10,   1.33E-011, 
 22.20,   1.18E-011, 
 22.30,   9.34E-012, 
 22.40,   4.33E-012, 
 22.50,   1.55E-012, 
 22.60,   7.76E-013, 
 22.70,   6.31E-013, 
 22.80,   7.25E-013, 
 22.90,   6.29E-013, 
 23.00,   5.40E-013, 
 23.10,   6.18E-013, 
 23.20,   7.06E-013, 
 23.30,   6.02E-013, 
 23.40,   3.41E-013, 
 23.50,   1.86E-013, 
 23.60,   1.27E-013, 
 23.70,   1.52E-013, 
 23.80,   2.98E-013, 
 23.90,   3.37E-013, 
 24.00,   3.74E-013, 
 24.10,   4.06E-013, 
 24.20,   3.62E-013, 
 24.30,   3.03E-013, 
 24.40,   2.89E-013, 
 24.50,   2.94E-013, 
 24.60,   3.25E-013, 
 24.70,   8.10E-013, 
 24.80,   1.14E-012, 
 24.90,   1.42E-012, 
 25.00,   1.65E-012, 
 25.10,   1.55E-012, 
 25.20,   1.50E-012, 
 25.30,   1.35E-012, 
 25.40,   1.13E-012, 
 25.50,   1.02E-012, 
 25.60,   1.74E-012, 
 25.70,   3.77E-012, 
 25.80,   6.26E-012, 
 25.90,   7.72E-012, 
 26.00,   8.26E-012, 
 26.10,   8.68E-012, 
 26.20,   9.13E-012, 
 26.30,   7.75E-012, 
 26.40,   6.07E-012, 
 26.50,   3.60E-012, 
 26.60,   4.62E-012, 
 26.70,   8.67E-012, 
 26.80,   1.43E-011, 
 26.90,   2.10E-011, 
 27.00,   3.07E-011, 
 27.10,   5.18E-011, 
 27.20,   8.77E-011, 
 27.30,   1.68E-010, 
 27.40,   3.32E-010, 
 27.50,   8.78E-010, 
 27.60,   2.36E-009, 
 27.70,   3.95E-009, 
 27.80,   4.78E-009, 
 27.90,   5.04E-009, 
 28.00,   5.00E-009, 
 28.10,   4.86E-009, 
 28.20,   4.45E-009, 
 28.30,   3.65E-009, 
 28.40,   1.65E-009, 
 28.50,   9.05E-011, 
 28.60,   2.76E-011, 
 28.70,   3.82E-011, 
 28.80,   4.91E-011, 
 28.90,   5.19E-011, 
 29.00,   5.59E-011, 
 29.10,   6.06E-011, 
 29.20,   6.20E-011, 
 29.30,   6.62E-011, 
 29.40,   7.50E-011, 
 29.50,   1.37E-010, 
 29.60,   3.52E-010, 
 29.70,   5.57E-010, 
 29.80,   6.70E-010, 
 29.90,   6.94E-010, 
 30.00,   7.00E-010, 
 30.10,   6.82E-010, 
 30.20,   6.33E-010, 
 30.30,   5.31E-010, 
 30.40,   2.95E-010, 
 30.50,   3.69E-011, 
 30.60,   1.12E-011, 
 30.70,   1.53E-011, 
 30.80,   2.76E-011, 
 30.90,   5.42E-011, 
 31.00,   8.84E-011, 
 31.10,   1.54E-010, 
 31.20,   2.84E-010, 
 31.30,   5.12E-010, 
 31.40,   9.83E-010, 
 31.50,   2.52E-009, 
 31.60,   6.65E-009, 
 31.70,   1.09E-008, 
 31.80,   1.32E-008, 
 31.90,   1.40E-008, 
 32.00,   1.40E-008, 
 32.10,   1.37E-008, 
 32.20,   1.29E-008, 
 32.30,   1.11E-008, 
 32.40,   6.59E-009, 
 32.50,   6.57E-010, 
 32.60,   3.83E-011, 
 32.70,   1.71E-011, 
 32.80,   1.22E-011, 
 32.90,   1.12E-011, 
 33.00,   1.17E-011, 
 33.10,   1.15E-011, 
 33.20,   1.19E-011, 
 33.30,   1.15E-011, 
 33.40,   9.98E-012, 
 33.50,   1.03E-011, 
 33.60,   2.35E-011, 
 33.70,   4.05E-011, 
 33.80,   5.17E-011, 
 33.90,   5.55E-011, 
 34.00,   5.79E-011, 
 34.10,   5.52E-011, 
 34.20,   5.46E-011, 
 34.30,   4.77E-011, 
 34.40,   3.56E-011, 
 34.50,   1.34E-011, 
 34.60,   7.45E-012, 
 34.70,   1.09E-011, 
 34.80,   1.40E-011, 
 34.90,   1.52E-011, 
 35.00,   1.73E-011, 
 35.10,   1.67E-011, 
 35.20,   1.57E-011, 
 35.30,   1.44E-011, 
 35.40,   9.15E-012, 
 35.50,   3.61E-012, 
 35.60,   1.34E-012, 
 35.70,   7.66E-013, 
 35.80,   5.88E-013, 
 35.90,   5.36E-013, 
 36.00,   4.95E-013, 
 36.10,   4.57E-013, 
 36.20,   4.97E-013, 
 36.30,   7.21E-013, 
 36.40,   6.43E-013, 
 36.50,   7.68E-013, 
 36.60,   1.45E-012, 
 36.70,   2.54E-012, 
 36.80,   3.89E-012, 
 36.90,   4.36E-012, 
 37.00,   5.20E-012, 
 37.10,   5.13E-012, 
 37.20,   4.85E-012, 
 37.30,   4.72E-012, 
 37.40,   3.44E-012, 
 37.50,   1.75E-012, 
 37.60,   8.87E-013, 
 37.70,   5.35E-013, 
 37.80,   3.45E-013, 
 37.90,   3.56E-013, 
 38.00,   5.05E-013, 
 38.10,   5.98E-013, 
 38.20,   6.04E-013, 
 38.30,   6.87E-013, 
 38.40,   5.86E-013, 
 38.50,   4.45E-013, 
 38.60,   3.46E-013, 
 38.70,   5.81E-013, 
 38.80,   9.84E-013, 
