Jul 11, 2023  08:11:58 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 1991 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 200, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.02E+003 
Sensitivity Factor, 1.40E-004 
Filament Current, 1.00, mAmps


  1.00,   1.94E-010, 
  1.10,   4.06E-010, 
  1.20,   1.08E-009, 
  1.30,   1.56E-009, 
  1.40,   8.15E-010, 
  1.50,   8.29E-010, 
  1.60,   9.80E-010, 
  1.70,   1.88E-009, 
  1.80,   4.74E-009, 
  1.90,   8.25E-009, 
  2.00,   1.01E-008, 
  2.10,   9.54E-009, 
  2.20,   6.59E-009, 
  2.30,   1.40E-009, 
  2.40,   6.85E-011, 
  2.50,   1.51E-011, 
  2.60,   5.34E-012, 
  2.70,   2.54E-012, 
  2.80,   1.82E-012, 
  2.90,   1.84E-012, 
  3.00,   2.00E-012, 
  3.10,   2.03E-012, 
  3.20,   1.91E-012, 
  3.30,   1.12E-012, 
  3.40,   5.78E-013, 
  3.50,   3.64E-013, 
  3.60,   2.56E-013, 
  3.70,   1.86E-013, 
  3.80,   2.18E-013, 
  3.90,   1.97E-013, 
  4.00,   2.58E-013, 
  4.10,   2.04E-013, 
  4.20,   1.41E-013, 
  4.30,   1.69E-013, 
  4.40,   1.65E-013, 
  4.50,   1.01E-013, 
  4.60,   9.11E-014, 
  4.70,   1.48E-013, 
  4.80,   9.11E-014, 
  4.90,   1.67E-014, 
  5.00,   1.95E-014, 
  5.10,  -8.76E-014, 
  5.20,  -1.04E-014, 
  5.30,  -1.60E-014, 
  5.40,   3.96E-014, 
  5.50,   5.01E-014, 
  5.60,   2.50E-014, 
  5.70,   3.69E-014, 
  5.80,   1.06E-013, 
  5.90,   1.21E-013, 
  6.00,   1.43E-013, 
  6.10,   1.01E-013, 
  6.20,   7.51E-014, 
  6.30,   1.67E-014, 
  6.40,  -9.04E-015, 
  6.50,  -2.30E-014, 
  6.60,   2.71E-014, 
  6.70,   1.60E-014, 
  6.80,  -5.56E-015, 
  6.90,  -2.30E-014, 
