Jul 12, 2023  08:59:08 AM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 1991 
Units, Torr 
Noise Floor, 0 
CEM Status, ON 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 200, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.02E+003 
Sensitivity Factor, 1.40E-004 
Filament Current, 1.00, mAmps


  1.00,   1.92E-010, 
  1.10,   3.39E-010, 
  1.20,   9.93E-010, 
  1.30,   1.58E-009, 
  1.40,   8.08E-010, 
  1.50,   7.67E-010, 
  1.60,   8.75E-010, 
  1.70,   1.58E-009, 
  1.80,   4.10E-009, 
  1.90,   7.74E-009, 
  2.00,   9.73E-009, 
  2.10,   9.38E-009, 
  2.20,   6.57E-009, 
  2.30,   1.67E-009, 
  2.40,   8.05E-011, 
  2.50,   1.54E-011, 
  2.60,   5.16E-012, 
  2.70,   2.63E-012, 
  2.80,   1.77E-012, 
  2.90,   1.62E-012, 
  3.00,   1.79E-012, 
  3.10,   1.80E-012, 
  3.20,   1.51E-012, 
  3.30,   1.04E-012, 
  3.40,   5.48E-013, 
  3.50,   3.20E-013, 
  3.60,   1.72E-013, 
  3.70,   9.04E-014, 
  3.80,   7.44E-014, 
  3.90,   8.35E-014, 
  4.00,   5.36E-014, 
  4.10,  -4.66E-014, 
  4.20,   1.18E-014, 
  4.30,   4.66E-014, 
  4.40,   6.47E-014, 
  4.50,  -1.04E-014, 
  4.60,   1.95E-014, 
  4.70,  -4.94E-014, 
  4.80,  -6.96E-015, 
  4.90,   4.80E-014, 
  5.00,  -7.65E-015, 
  5.10,  -4.87E-014, 
  5.20,  -1.39E-014, 
  5.30,   9.04E-015, 
  5.40,   3.13E-014, 
  5.50,   4.59E-014, 
  5.60,   1.07E-013, 
  5.70,   1.38E-013, 
  5.80,   3.69E-014, 
  5.90,   2.09E-014, 
  6.00,  -5.84E-014, 
  6.10,  -2.09E-015, 
  6.20,   1.04E-014, 
  6.30,  -6.75E-014, 
  6.40,  -3.62E-014, 
  6.50,  -4.59E-014, 
  6.60,  -3.34E-014, 
  6.70,  -9.81E-014, 
  6.80,  -2.02E-014, 
