Jul 12, 2023  04:16:32 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 1991 
Units, Torr 
Noise Floor, 0 
CEM Status, ON 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 200, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.02E+003 
Sensitivity Factor, 1.40E-004 
Filament Current, 1.00, mAmps


  1.00,   1.87E-010, 
  1.10,   3.21E-010, 
  1.20,   8.88E-010, 
  1.30,   1.32E-009, 
  1.40,   7.01E-010, 
  1.50,   7.25E-010, 
  1.60,   8.80E-010, 
  1.70,   1.65E-009, 
  1.80,   4.28E-009, 
  1.90,   7.74E-009, 
  2.00,   9.47E-009, 
  2.10,   9.03E-009, 
  2.20,   6.31E-009, 
  2.30,   1.47E-009, 
  2.40,   7.05E-011, 
  2.50,   1.37E-011, 
  2.60,   5.25E-012, 
  2.70,   2.44E-012, 
  2.80,   1.58E-012, 
  2.90,   1.58E-012, 
  3.00,   1.70E-012, 
  3.10,   1.71E-012, 
  3.20,   1.57E-012, 
  3.30,   8.90E-013, 
  3.40,   4.28E-013, 
  3.50,   2.69E-013, 
  3.60,   1.84E-013, 
  3.70,   1.02E-013, 
  3.80,   2.09E-014, 
  3.90,   4.87E-014, 
  4.00,   7.58E-014, 
  4.10,   7.09E-014, 
  4.20,   7.58E-014, 
  4.30,   2.16E-014, 
  4.40,   7.03E-014, 
  4.50,   6.33E-014, 
  4.60,   5.43E-014, 
  4.70,  -3.76E-014, 
  4.80,  -5.08E-014, 
  4.90,  -9.74E-014, 
  5.00,  -9.46E-014, 
  5.10,  -1.18E-013, 
  5.20,  -8.56E-014, 
  5.30,  -5.84E-014, 
  5.40,  -3.83E-014, 
  5.50,  -7.09E-014, 
  5.60,  -2.92E-014, 
  5.70,  -7.16E-014, 
  5.80,  -6.54E-014, 
  5.90,  -7.93E-014, 
  6.00,  -5.98E-014, 
  6.10,  -3.90E-014, 
  6.20,  -5.98E-014, 
  6.30,  -9.67E-014, 
  6.40,  -1.39E-015, 
  6.50,   8.35E-015, 
  6.60,   2.71E-014, 
  6.70,   2.02E-014, 
  6.80,  -2.99E-014, 
