Jul 13, 2023  03:37:01 AM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 1991 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 200, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.02E+003 
Sensitivity Factor, 1.40E-004 
Filament Current, 1.00, mAmps


  1.00,   3.66E-010, 
  1.10,   4.88E-010, 
  1.20,   1.63E-009, 
  1.30,   4.54E-009, 
  1.40,   2.46E-009, 
  1.50,   2.84E-009, 
  1.60,   3.58E-009, 
  1.70,   5.80E-009, 
  1.80,   1.36E-008, 
  1.90,   3.18E-008, 
  2.00,   4.57E-008, 
  2.10,   4.91E-008, 
  2.20,   4.05E-008, 
  2.30,   1.78E-008, 
  2.40,   1.08E-009, 
  2.50,   1.07E-010, 
  2.60,   2.71E-011, 
  2.70,   1.07E-011, 
  2.80,   6.29E-012, 
  2.90,   7.11E-012, 
  3.00,   9.53E-012, 
  3.10,   9.27E-012, 
  3.20,   8.25E-012, 
  3.30,   4.96E-012, 
  3.40,   2.15E-012, 
  3.50,   9.46E-013, 
  3.60,   5.27E-013, 
  3.70,   3.74E-013, 
  3.80,   2.96E-013, 
  3.90,   3.12E-013, 
  4.00,   4.71E-013, 
  4.10,   5.86E-013, 
  4.20,   4.85E-013, 
  4.30,   3.73E-013, 
  4.40,   2.09E-013, 
  4.50,   5.56E-014, 
  4.60,   8.42E-014, 
  4.70,   4.94E-014, 
  4.80,  -9.74E-015, 
  4.90,  -7.93E-014, 
  5.00,  -6.54E-014, 
  5.10,  -1.81E-014, 
  5.20,  -3.83E-014, 
  5.30,  -7.93E-014, 
  5.40,  -2.85E-014, 
  5.50,  -6.61E-014, 
  5.60,  -1.13E-013, 
  5.70,  -9.04E-014, 
  5.80,  -1.39E-015, 
  5.90,   2.23E-013, 
  6.00,   2.92E-013, 
  6.10,   2.52E-013, 
  6.20,   2.75E-013, 
  6.30,   1.52E-013, 
  6.40,   6.89E-014, 
  6.50,  -3.48E-015, 
  6.60,  -7.03E-014, 
  6.70,  -8.49E-014, 
  6.80,  -5.01E-014, 
