Jul 13, 2023  02:06:00 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 1991 
Units, Torr 
Noise Floor, 0 
CEM Status, ON 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 200, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.02E+003 
Sensitivity Factor, 1.40E-004 
Filament Current, 1.00, mAmps


  1.00,   3.76E-010, 
  1.10,   5.13E-010, 
  1.20,   1.78E-009, 
  1.30,   4.39E-009, 
  1.40,   2.47E-009, 
  1.50,   3.40E-009, 
  1.60,   4.53E-009, 
  1.70,   7.60E-009, 
  1.80,   1.90E-008, 
  1.90,   4.33E-008, 
  2.00,   5.99E-008, 
  2.10,   6.18E-008, 
  2.20,   4.90E-008, 
  2.30,   2.01E-008, 
  2.40,   1.12E-009, 
  2.50,   1.21E-010, 
  2.60,   2.80E-011, 
  2.70,   1.13E-011, 
  2.80,   7.67E-012, 
  2.90,   9.77E-012, 
  3.00,   1.29E-011, 
  3.10,   1.24E-011, 
  3.20,   1.12E-011, 
  3.30,   6.29E-012, 
  3.40,   2.09E-012, 
  3.50,   9.61E-013, 
  3.60,   5.31E-013, 
  3.70,   4.40E-013, 
  3.80,   5.20E-013, 
  3.90,   7.47E-013, 
  4.00,   9.41E-013, 
  4.10,   1.12E-012, 
  4.20,   1.06E-012, 
  4.30,   5.23E-013, 
  4.40,   3.14E-013, 
  4.50,   1.53E-013, 
  4.60,   1.20E-013, 
  4.70,   5.91E-014, 
  4.80,   6.82E-014, 
  4.90,   2.09E-014, 
  5.00,   2.57E-014, 
  5.10,   2.78E-014, 
  5.20,   3.13E-014, 
  5.30,   8.69E-014, 
  5.40,   8.00E-014, 
  5.50,   1.38E-013, 
  5.60,   1.58E-013, 
  5.70,   9.81E-014, 
  5.80,   1.57E-013, 
  5.90,   2.21E-013, 
  6.00,   2.82E-013, 
  6.10,   3.27E-013, 
  6.20,   3.04E-013, 
  6.30,   2.05E-013, 
  6.40,   1.51E-013, 
  6.50,   4.45E-014, 
  6.60,   3.55E-014, 
  6.70,   1.39E-014, 
  6.80,   2.30E-014, 
  6.90,   5.22E-014, 
