Jul 13, 2023  11:54:01 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 1991 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 200, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.02E+003 
Sensitivity Factor, 1.40E-004 
Filament Current, 1.00, mAmps


  1.00,   3.68E-010, 
  1.10,   4.61E-010, 
  1.20,   1.51E-009, 
  1.30,   4.31E-009, 
  1.40,   2.42E-009, 
  1.50,   3.00E-009, 
  1.60,   3.91E-009, 
  1.70,   6.40E-009, 
  1.80,   1.52E-008, 
  1.90,   3.71E-008, 
  2.00,   5.41E-008, 
  2.10,   5.67E-008, 
  2.20,   4.64E-008, 
  2.30,   2.06E-008, 
  2.40,   1.30E-009, 
  2.50,   1.21E-010, 
  2.60,   2.95E-011, 
  2.70,   1.12E-011, 
  2.80,   6.86E-012, 
  2.90,   8.45E-012, 
  3.00,   1.13E-011, 
  3.10,   1.24E-011, 
  3.20,   1.07E-011, 
  3.30,   6.53E-012, 
  3.40,   2.44E-012, 
  3.50,   1.06E-012, 
  3.60,   6.64E-013, 
  3.70,   4.36E-013, 
  3.80,   3.52E-013, 
  3.90,   5.22E-013, 
  4.00,   8.58E-013, 
  4.10,   7.80E-013, 
  4.20,   8.09E-013, 
  4.30,   6.14E-013, 
  4.40,   3.14E-013, 
  4.50,   1.64E-013, 
  4.60,   1.11E-013, 
  4.70,   1.60E-014, 
  4.80,   2.36E-014, 
  4.90,  -1.74E-014, 
  5.00,  -4.87E-014, 
  5.10,  -5.63E-014, 
  5.20,  -4.73E-014, 
  5.30,   5.70E-014, 
  5.40,   4.80E-014, 
  5.50,  -5.56E-015, 
  5.60,  -2.85E-014, 
  5.70,  -3.06E-014, 
  5.80,  -1.25E-014, 
  5.90,   1.34E-013, 
  6.00,   1.53E-013, 
  6.10,   1.37E-013, 
  6.20,   1.61E-013, 
  6.30,   3.90E-014, 
  6.40,   1.04E-014, 
  6.50,   2.85E-014, 
  6.60,  -2.43E-014, 
  6.70,  -3.69E-014, 
  6.80,  -8.35E-015, 
