Jul 14, 2023  06:12:48 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 1991 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 200, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.02E+003 
Sensitivity Factor, 1.40E-004 
Filament Current, 1.00, mAmps


  1.00,   3.30E-010, 
  1.10,   4.47E-010, 
  1.20,   1.39E-009, 
  1.30,   2.80E-009, 
  1.40,   1.74E-009, 
  1.50,   2.97E-009, 
  1.60,   4.22E-009, 
  1.70,   7.53E-009, 
  1.80,   1.99E-008, 
  1.90,   4.26E-008, 
  2.00,   5.55E-008, 
  2.10,   5.40E-008, 
  2.20,   3.99E-008, 
  2.30,   1.28E-008, 
  2.40,   5.81E-010, 
  2.50,   7.69E-011, 
  2.60,   2.15E-011, 
  2.70,   8.46E-012, 
  2.80,   7.08E-012, 
  2.90,   8.78E-012, 
  3.00,   1.10E-011, 
  3.10,   1.18E-011, 
  3.20,   9.35E-012, 
  3.30,   5.01E-012, 
  3.40,   1.65E-012, 
  3.50,   6.95E-013, 
  3.60,   3.60E-013, 
  3.70,   2.31E-013, 
  3.80,   2.41E-013, 
  3.90,   4.35E-013, 
  4.00,   5.46E-013, 
  4.10,   5.75E-013, 
  4.20,   5.82E-013, 
  4.30,   3.62E-013, 
  4.40,   2.14E-013, 
  4.50,   1.05E-013, 
  4.60,   2.50E-014, 
  4.70,  -3.48E-014, 
  4.80,  -6.40E-014, 
  4.90,  -2.50E-014, 
  5.00,  -7.58E-014, 
  5.10,  -5.08E-014, 
  5.20,  -7.79E-014, 
  5.30,  -2.99E-014, 
  5.40,   2.92E-014, 
  5.50,  -1.88E-014, 
  5.60,  -1.00E-013, 
  5.70,  -6.68E-014, 
  5.80,   1.25E-013, 
  5.90,   2.20E-013, 
  6.00,   1.41E-013, 
  6.10,   8.76E-014, 
  6.20,   1.26E-013, 
  6.30,   4.87E-014, 
  6.40,  -1.74E-014, 
  6.50,  -6.89E-014, 
  6.60,  -1.61E-013, 
  6.70,  -1.47E-013, 
  6.80,  -8.97E-014, 
