Jul 14, 2023  11:59:00 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 1991 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 200, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.02E+003 
Sensitivity Factor, 1.40E-004 
Filament Current, 1.00, mAmps


  1.00,   3.42E-010, 
  1.10,   4.36E-010, 
  1.20,   1.41E-009, 
  1.30,   3.82E-009, 
  1.40,   2.16E-009, 
  1.50,   2.86E-009, 
  1.60,   3.85E-009, 
  1.70,   6.45E-009, 
  1.80,   1.58E-008, 
  1.90,   3.73E-008, 
  2.00,   5.24E-008, 
  2.10,   5.45E-008, 
  2.20,   4.38E-008, 
  2.30,   1.86E-008, 
  2.40,   1.08E-009, 
  2.50,   1.08E-010, 
  2.60,   2.60E-011, 
  2.70,   9.56E-012, 
  2.80,   6.58E-012, 
  2.90,   8.19E-012, 
  3.00,   1.03E-011, 
  3.10,   1.11E-011, 
  3.20,   9.60E-012, 
  3.30,   5.81E-012, 
  3.40,   2.27E-012, 
  3.50,   8.75E-013, 
  3.60,   4.58E-013, 
  3.70,   4.16E-013, 
  3.80,   3.67E-013, 
  3.90,   5.56E-013, 
  4.00,   6.88E-013, 
  4.10,   5.74E-013, 
  4.20,   5.88E-013, 
  4.30,   3.17E-013, 
  4.40,   1.84E-013, 
  4.50,   1.90E-013, 
  4.60,   1.23E-013, 
  4.70,   6.54E-014, 
  4.80,   7.03E-014, 
  4.90,   3.48E-014, 
  5.00,   6.26E-015, 
  5.10,  -2.23E-014, 
  5.20,   1.46E-014, 
  5.30,   1.11E-014, 
  5.40,  -5.29E-014, 
  5.50,  -3.34E-014, 
  5.60,  -3.96E-014, 
  5.70,  -3.96E-014, 
  5.80,  -1.53E-014, 
  5.90,   7.65E-015, 
  6.00,   1.43E-013, 
  6.10,   1.24E-013, 
  6.20,   7.44E-014, 
  6.30,   4.80E-014, 
  6.40,   7.03E-014, 
  6.50,   5.15E-014, 
  6.60,   2.02E-014, 
  6.70,  -7.16E-014, 
  6.80,  -7.09E-014, 
