Jul 15, 2023  11:02:59 AM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 1991 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 200, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.02E+003 
Sensitivity Factor, 1.40E-004 
Filament Current, 1.00, mAmps


  1.00,   3.18E-010, 
  1.10,   4.24E-010, 
  1.20,   1.36E-009, 
  1.30,   2.96E-009, 
  1.40,   1.80E-009, 
  1.50,   2.84E-009, 
  1.60,   3.97E-009, 
  1.70,   6.95E-009, 
  1.80,   1.80E-008, 
  1.90,   4.07E-008, 
  2.00,   5.37E-008, 
  2.10,   5.33E-008, 
  2.20,   4.01E-008, 
  2.30,   1.40E-008, 
  2.40,   6.59E-010, 
  2.50,   8.16E-011, 
  2.60,   2.25E-011, 
  2.70,   8.84E-012, 
  2.80,   5.99E-012, 
  2.90,   8.22E-012, 
  3.00,   9.30E-012, 
  3.10,   1.02E-011, 
  3.20,   8.88E-012, 
  3.30,   5.15E-012, 
  3.40,   1.75E-012, 
  3.50,   7.85E-013, 
  3.60,   4.28E-013, 
  3.70,   2.50E-013, 
  3.80,   2.83E-013, 
  3.90,   3.97E-013, 
  4.00,   6.91E-013, 
  4.10,   8.73E-013, 
  4.20,   5.73E-013, 
  4.30,   3.30E-013, 
  4.40,   1.64E-013, 
  4.50,   1.15E-013, 
  4.60,   4.38E-014, 
  4.70,  -8.42E-014, 
  4.80,  -1.25E-013, 
  4.90,  -3.06E-014, 
  5.00,   4.03E-014, 
  5.10,   3.20E-014, 
  5.20,   6.96E-016, 
  5.30,   4.45E-014, 
  5.40,   1.53E-014, 
  5.50,  -3.34E-014, 
  5.60,   9.04E-015, 
  5.70,  -7.44E-014, 
  5.80,  -3.41E-014, 
  5.90,  -1.39E-014, 
  6.00,  -2.92E-014, 
  6.10,   2.23E-014, 
  6.20,  -4.87E-015, 
  6.30,   2.09E-015, 
  6.40,  -3.62E-014, 
  6.50,  -7.16E-014, 
  6.60,  -1.39E-014, 
  6.70,  -5.08E-014, 
  6.80,  -1.07E-013, 
