Jul 17, 2023  11:25:16 AM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 1991 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 200, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.02E+003 
Sensitivity Factor, 1.40E-004 
Filament Current, 1.00, mAmps


  1.00,   1.35E-011, 
  1.10,   2.19E-011, 
  1.20,   6.13E-011, 
  1.30,   1.23E-010, 
  1.40,   1.19E-010, 
  1.50,   2.86E-010, 
  1.60,   4.38E-010, 
  1.70,   8.12E-010, 
  1.80,   2.27E-009, 
  1.90,   4.55E-009, 
  2.00,   5.63E-009, 
  2.10,   5.41E-009, 
  2.20,   4.08E-009, 
  2.30,   1.19E-009, 
  2.40,   6.17E-011, 
  2.50,   1.18E-011, 
  2.60,   4.01E-012, 
  2.70,   1.69E-012, 
  2.80,   1.01E-012, 
  2.90,   9.22E-013, 
  3.00,   9.47E-013, 
  3.10,   1.02E-012, 
  3.20,   8.50E-013, 
  3.30,   5.20E-013, 
  3.40,   2.40E-013, 
  3.50,   1.60E-013, 
  3.60,   7.09E-014, 
  3.70,   1.25E-014, 
  3.80,   7.58E-014, 
  3.90,   2.71E-014, 
  4.00,   9.81E-014, 
  4.10,   1.44E-013, 
  4.20,   1.54E-013, 
  4.30,   1.08E-013, 
  4.40,   4.80E-014, 
  4.50,   2.71E-014, 
  4.60,   1.18E-014, 
  4.70,   4.24E-014, 
  4.80,   3.34E-014, 
  4.90,   1.74E-014, 
  5.00,   6.96E-016, 
  5.10,   8.28E-014, 
  5.20,   0.00E+000, 
  5.30,   6.96E-016, 
  5.40,   4.17E-015, 
  5.50,  -3.20E-014, 
  5.60,  -1.88E-014, 
  5.70,  -2.50E-014, 
  5.80,  -3.69E-014, 
  5.90,   3.06E-014, 
  6.00,   4.59E-014, 
  6.10,   4.59E-014, 
  6.20,   6.05E-014, 
  6.30,   3.69E-014, 
  6.40,   2.64E-014, 
  6.50,   6.96E-015, 
  6.60,   1.39E-014, 
  6.70,   9.74E-015, 
  6.80,   7.65E-015, 
  6.90,   8.35E-015, 
