Jul 17, 2023  05:52:38 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 1991 
Units, Torr 
Noise Floor, 0 
CEM Status, ON 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 200, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.02E+003 
Sensitivity Factor, 1.40E-004 
Filament Current, 1.00, mAmps


  1.00,   1.01E-011, 
  1.10,   1.56E-011, 
  1.20,   4.11E-011, 
  1.30,   7.17E-011, 
  1.40,   6.66E-011, 
  1.50,   1.60E-010, 
  1.60,   2.50E-010, 
  1.70,   4.79E-010, 
  1.80,   1.34E-009, 
  1.90,   2.49E-009, 
  2.00,   2.97E-009, 
  2.10,   2.76E-009, 
  2.20,   1.89E-009, 
  2.30,   4.47E-010, 
  2.40,   2.65E-011, 
  2.50,   5.89E-012, 
  2.60,   2.45E-012, 
  2.70,   1.22E-012, 
  2.80,   8.20E-013, 
  2.90,   6.60E-013, 
  3.00,   5.21E-013, 
  3.10,   1.74E-014, 
  3.20,  -1.90E-013, 
  3.30,  -5.43E-014, 
  3.40,  -2.23E-014, 
  3.50,  -2.78E-015, 
  3.60,  -3.48E-014, 
  3.70,  -3.48E-015, 
  3.80,   2.02E-014, 
  3.90,   4.38E-014, 
  4.00,  -1.39E-015, 
  4.10,  -1.88E-014, 
  4.20,   3.27E-014, 
  4.30,   8.62E-014, 
  4.40,   6.33E-014, 
  4.50,  -2.50E-014, 
  4.60,  -6.12E-014, 
  4.70,  -7.30E-014, 
  4.80,  -5.15E-014, 
  4.90,  -2.85E-014, 
  5.00,  -1.04E-014, 
  5.10,   1.60E-014, 
  5.20,   7.23E-014, 
  5.30,  -6.96E-016, 
  5.40,   3.48E-015, 
  5.50,   6.96E-016, 
  5.60,  -2.30E-014, 
  5.70,  -3.96E-014, 
  5.80,   4.17E-015, 
  5.90,  -4.17E-014, 
  6.00,  -6.26E-015, 
  6.10,  -2.78E-015, 
  6.20,  -1.67E-014, 
  6.30,   1.81E-014, 
  6.40,  -5.29E-014, 
  6.50,  -6.40E-014, 
  6.60,  -3.41E-014, 
  6.70,  -8.49E-014, 
