Jul 17, 2023  06:43:33 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 1991 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 200, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.02E+003 
Sensitivity Factor, 1.40E-004 
Filament Current, 1.00, mAmps


  1.00,   7.72E-012, 
  1.10,   1.38E-011, 
  1.20,   3.37E-011, 
  1.30,   5.80E-011, 
  1.40,   4.97E-011, 
  1.50,   1.16E-010, 
  1.60,   1.82E-010, 
  1.70,   3.58E-010, 
  1.80,   9.95E-010, 
  1.90,   1.75E-009, 
  2.00,   2.03E-009, 
  2.10,   1.86E-009, 
  2.20,   1.25E-009, 
  2.30,   2.58E-010, 
  2.40,   1.73E-011, 
  2.50,   4.49E-012, 
  2.60,   2.10E-012, 
  2.70,   1.12E-012, 
  2.80,   6.72E-013, 
  2.90,   5.39E-013, 
  3.00,   4.64E-013, 
  3.10,   3.60E-013, 
  3.20,   2.89E-013, 
  3.30,   1.68E-013, 
  3.40,   5.01E-014, 
  3.50,   5.84E-014, 
  3.60,   3.90E-014, 
  3.70,   5.56E-014, 
  3.80,   9.67E-014, 
  3.90,   6.33E-014, 
  4.00,   7.72E-014, 
  4.10,   6.54E-014, 
  4.20,   8.35E-015, 
  4.30,   5.77E-014, 
  4.40,   4.03E-014, 
  4.50,  -4.17E-015, 
  4.60,  -2.43E-014, 
  4.70,  -5.77E-014, 
  4.80,  -8.35E-014, 
  4.90,  -4.24E-014, 
  5.00,   2.64E-014, 
  5.10,   6.40E-014, 
  5.20,  -2.78E-015, 
  5.30,   3.55E-014, 
  5.40,   6.75E-014, 
  5.50,  -1.39E-015, 
  5.60,  -3.34E-014, 
  5.70,  -3.76E-014, 
  5.80,  -2.36E-014, 
  5.90,  -1.60E-014, 
  6.00,   1.81E-014, 
  6.10,   4.31E-014, 
  6.20,   4.31E-014, 
  6.30,  -6.26E-014, 
  6.40,  -2.57E-014, 
  6.50,  -1.46E-014, 
  6.60,  -3.27E-014, 
  6.70,  -6.26E-014, 
  6.80,   2.78E-014, 
