Jul 19, 2023  05:38:43 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 1991 
Units, Torr 
Noise Floor, 0 
CEM Status, ON 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 200, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.02E+003 
Sensitivity Factor, 1.40E-004 
Filament Current, 1.00, mAmps


  1.00,   5.50E-012, 
  1.10,   1.47E-011, 
  1.20,   3.12E-011, 
  1.30,   4.33E-011, 
  1.40,   6.86E-011, 
  1.50,   2.73E-010, 
  1.60,   4.95E-010, 
  1.70,   1.18E-009, 
  1.80,   2.95E-009, 
  1.90,   4.38E-009, 
  2.00,   4.71E-009, 
  2.10,   4.06E-009, 
  2.20,   2.35E-009, 
  2.30,   2.70E-010, 
  2.40,   2.18E-011, 
  2.50,   6.05E-012, 
  2.60,   2.39E-012, 
  2.70,   1.27E-012, 
  2.80,   8.81E-013, 
  2.90,   6.34E-013, 
  3.00,   6.25E-013, 
  3.10,   5.32E-013, 
  3.20,   4.39E-013, 
  3.30,   3.51E-013, 
  3.40,   2.54E-013, 
  3.50,   1.93E-013, 
  3.60,   2.43E-013, 
  3.70,   6.00E-013, 
  3.80,   2.01E-012, 
  3.90,   3.57E-012, 
  4.00,   4.14E-012, 
  4.10,   3.97E-012, 
  4.20,   2.60E-012, 
  4.30,   1.13E-012, 
  4.40,   4.43E-013, 
  4.50,   1.69E-013, 
  4.60,   9.53E-014, 
  4.70,   4.10E-014, 
  4.80,   5.49E-014, 
  4.90,  -2.43E-014, 
  5.00,  -3.62E-014, 
  5.10,  -2.09E-014, 
  5.20,  -2.36E-014, 
  5.30,  -6.05E-014, 
  5.40,  -9.04E-014, 
  5.50,  -9.46E-014, 
  5.60,  -6.96E-015, 
  5.70,   1.53E-014, 
  5.80,   5.49E-014, 
  5.90,   1.11E-013, 
  6.00,   1.26E-013, 
  6.10,   8.69E-014, 
  6.20,   5.49E-014, 
  6.30,   4.38E-014, 
  6.40,  -4.17E-015, 
  6.50,  -4.31E-014, 
  6.60,  -2.99E-014, 
  6.70,  -2.30E-014, 
  6.80,  -5.43E-014, 
