Mar 29, 2017  08:10:51 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 1991 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 200, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.14E-004 
Filament Current, 1.00, mAmps


  1.00,   1.36E-008, 
  1.10,   9.83E-008, 
  1.20,   1.29E-007, 
  1.30,   7.33E-008, 
  1.40,   2.90E-007, 
  1.50,   2.65E-006, 
  1.60,   3.11E-006, 
  1.70,   3.15E-006, 
  1.80,   3.86E-006, 
  1.90,   3.86E-006, 
  2.00,   3.91E-006, 
  2.10,   3.53E-006, 
  2.20,   1.88E-006, 
  2.30,   8.21E-008, 
  2.40,   1.09E-008, 
  2.50,   6.68E-009, 
  2.60,   6.73E-009, 
  2.70,   7.50E-009, 
  2.80,   9.16E-009, 
  2.90,   9.56E-009, 
  3.00,   9.65E-009, 
  3.10,   8.69E-009, 
  3.20,   5.78E-009, 
  3.30,   1.61E-009, 
  3.40,   2.62E-010, 
  3.50,  -2.87E-010, 
  3.60,  -5.45E-010, 
  3.70,  -6.62E-010, 
  3.80,  -6.82E-010, 
  3.90,  -7.09E-010, 
  4.00,  -6.46E-010, 
  4.10,  -6.54E-010, 
  4.20,  -6.63E-010, 
  4.30,  -5.91E-010, 
  4.40,  -5.64E-010, 
  4.50,  -5.14E-010, 
  4.60,  -4.65E-010, 
  4.70,  -4.22E-010, 
  4.80,  -3.84E-010, 
  4.90,  -4.08E-010, 
  5.00,  -3.81E-010, 
  5.10,  -3.21E-010, 
  5.20,  -2.77E-010, 
  5.30,  -2.69E-010, 
  5.40,  -2.22E-010, 
  5.50,  -1.98E-010, 
  5.60,  -1.97E-010, 
  5.70,  -1.91E-010, 
  5.80,  -1.72E-010, 
  5.90,  -1.16E-010, 
  6.00,  -1.08E-010, 
  6.10,  -1.23E-010, 
  6.20,  -1.49E-010, 
  6.30,  -1.41E-010, 
  6.40,  -8.84E-011, 
  6.50,  -1.21E-010, 
  6.60,  -1.75E-010, 
  6.70,  -1.52E-010, 
