Mar 30, 2017  06:12:56 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 1991 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 200, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.14E-004 
Filament Current, 1.00, mAmps


  1.00,   2.19E-009, 
  1.10,   2.57E-009, 
  1.20,   7.35E-009, 
  1.30,   1.08E-007, 
  1.40,   1.13E-007, 
  1.50,   2.18E-007, 
  1.60,   4.54E-007, 
  1.70,   7.66E-007, 
  1.80,   9.47E-007, 
  1.90,   1.00E-006, 
  2.00,   1.05E-006, 
  2.10,   1.05E-006, 
  2.20,   9.46E-007, 
  2.30,   7.93E-007, 
  2.40,   4.17E-007, 
  2.50,   2.59E-008, 
  2.60,   3.84E-009, 
  2.70,   1.57E-009, 
  2.80,   9.27E-010, 
  2.90,   7.16E-010, 
  3.00,   6.54E-010, 
  3.10,   5.48E-010, 
  3.20,   4.37E-010, 
  3.30,   3.74E-010, 
  3.40,   2.55E-010, 
  3.50,   6.91E-011, 
  3.60,  -4.99E-011, 
  3.70,  -9.71E-011, 
  3.80,  -1.16E-010, 
  3.90,  -1.16E-010, 
  4.00,  -1.06E-010, 
  4.10,  -1.26E-010, 
  4.20,  -1.77E-010, 
  4.30,  -1.73E-010, 
  4.40,  -1.22E-010, 
  4.50,  -8.31E-011, 
  4.60,  -1.03E-010, 
  4.70,  -5.95E-011, 
  4.80,  -7.96E-011, 
  4.90,  -7.35E-011, 
  5.00,  -1.13E-010, 
  5.10,  -1.50E-010, 
  5.20,  -8.40E-011, 
  5.30,  -5.69E-011, 
  5.40,  -7.44E-011, 
  5.50,  -3.94E-011, 
  5.60,  -6.74E-011, 
  5.70,  -1.17E-010, 
  5.80,  -1.08E-010, 
  5.90,  -7.17E-011, 
  6.00,  -9.10E-011, 
  6.10,  -7.87E-011, 
  6.20,  -8.84E-011, 
  6.30,  -1.17E-010, 
  6.40,  -1.06E-010, 
  6.50,  -1.01E-010, 
  6.60,  -1.08E-010, 
  6.70,  -1.44E-010, 
