Jul 11, 2023  03:50:38 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 1991 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 200, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.14E-004 
Filament Current, 1.00, mAmps


  1.00,   2.90E-010, 
  1.10,   3.81E-010, 
  1.20,   4.79E-010, 
  1.30,   3.56E-009, 
  1.40,   1.88E-008, 
  1.50,   3.99E-008, 
  1.60,   5.86E-008, 
  1.70,   1.18E-007, 
  1.80,   1.93E-007, 
  1.90,   2.41E-007, 
  2.00,   2.41E-007, 
  2.10,   2.59E-007, 
  2.20,   2.34E-007, 
  2.30,   2.19E-007, 
  2.40,   1.65E-007, 
  2.50,   6.23E-008, 
  2.60,   6.09E-009, 
  2.70,   1.82E-009, 
  2.80,   8.68E-010, 
  2.90,   5.17E-010, 
  3.00,   3.26E-010, 
  3.10,   2.28E-010, 
  3.20,   1.68E-010, 
  3.30,   1.36E-010, 
  3.40,   1.07E-010, 
  3.50,   6.65E-011, 
  3.60,  -3.50E-012, 
  3.70,  -2.45E-011, 
  3.80,  -4.29E-011, 
  3.90,  -5.34E-011, 
  4.00,  -1.84E-011, 
  4.10,  -2.80E-011, 
  4.20,  -1.14E-011, 
  4.30,  -1.66E-011, 
  4.40,  -2.71E-011, 
  4.50,  -2.62E-011, 
  4.60,  -2.71E-011, 
  4.70,  -5.16E-011, 
  4.80,  -1.22E-011, 
  4.90,  -4.55E-011, 
  5.00,  -3.59E-011, 
  5.10,  -4.11E-011, 
  5.20,  -3.15E-011, 
  5.30,   2.71E-011, 
  5.40,   2.97E-011, 
  5.50,  -1.92E-011, 
  5.60,  -2.62E-011, 
  5.70,  -7.87E-011, 
  5.80,  -7.17E-011, 
  5.90,  -3.94E-011, 
  6.00,  -5.25E-011, 
  6.10,  -5.07E-011, 
  6.20,  -2.36E-011, 
  6.30,  -6.12E-012, 
  6.40,  -2.89E-011, 
  6.50,  -5.42E-011, 
  6.60,  -4.90E-011, 
  6.70,  -1.66E-011, 
