Mar 31, 2017  10:45:58 AM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 1991 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 200, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.14E-004 
Filament Current, 1.00, mAmps


  1.00,   1.15E-009, 
  1.10,   1.34E-009, 
  1.20,   1.65E-009, 
  1.30,   2.03E-008, 
  1.40,   7.19E-008, 
  1.50,   1.15E-007, 
  1.60,   1.42E-007, 
  1.70,   2.69E-007, 
  1.80,   4.45E-007, 
  1.90,   5.55E-007, 
  2.00,   5.64E-007, 
  2.10,   5.93E-007, 
  2.20,   5.44E-007, 
  2.30,   5.07E-007, 
  2.40,   3.86E-007, 
  2.50,   1.67E-007, 
  2.60,   1.16E-008, 
  2.70,   2.77E-009, 
  2.80,   1.25E-009, 
  2.90,   7.32E-010, 
  3.00,   4.86E-010, 
  3.10,   3.58E-010, 
  3.20,   2.81E-010, 
  3.30,   1.91E-010, 
  3.40,   1.81E-010, 
  3.50,   1.26E-010, 
  3.60,   4.81E-011, 
  3.70,   1.31E-011, 
  3.80,   3.06E-011, 
  3.90,   7.87E-012, 
  4.00,   2.10E-011, 
  4.10,   1.84E-011, 
  4.20,  -7.00E-011, 
  4.30,  -7.61E-011, 
  4.40,  -5.42E-011, 
  4.50,  -7.09E-011, 
  4.60,  -5.69E-011, 
  4.70,  -7.44E-011, 
  4.80,  -9.10E-011, 
  4.90,  -5.60E-011, 
  5.00,  -7.44E-011, 
  5.10,  -8.31E-011, 
  5.20,  -6.65E-011, 
  5.30,  -7.70E-011, 
  5.40,  -6.56E-011, 
  5.50,  -4.64E-011, 
  5.60,  -9.62E-012, 
  5.70,   7.87E-012, 
  5.80,   4.72E-011, 
  5.90,   3.41E-011, 
  6.00,  -1.75E-011, 
  6.10,  -3.50E-011, 
  6.20,  -1.75E-012, 
  6.30,  -4.72E-011, 
  6.40,  -3.59E-011, 
  6.50,  -3.06E-011, 
  6.60,   2.62E-012, 
  6.70,   3.06E-011, 
  6.80,   8.75E-012, 
