Date, Time, Relative Time, Platform Temp., Sample Temp., Stage 1 Temp., Stage 2 Temp., User Temp.
4/28/2021, 8:47:07.739, 00:00:01, 299.440, 299.491, 299.26, 299.38, 0.000
4/28/2021, 8:47:09.837, 00:00:03, 299.440, 299.492, 299.26, 299.38, 0.000
4/28/2021, 8:47:12.125, 00:00:05, 299.440, 299.491, 299.26, 299.38, 0.000
4/28/2021, 8:47:14.396, 00:00:07, 299.440, 299.492, 299.25, 299.38, 0.000
4/28/2021, 8:47:16.684, 00:00:10, 299.440, 299.492, 299.25, 299.38, 0.000
4/28/2021, 8:47:18.971, 00:00:12, 299.440, 299.492, 299.24, 299.38, 0.000
4/28/2021, 8:47:21.253, 00:00:14, 299.440, 299.491, 299.22, 299.37, 0.000
4/28/2021, 8:47:23.528, 00:00:16, 299.440, 299.491, 299.20, 299.36, 0.000
4/28/2021, 8:47:28.095, 00:00:21, 299.440, 299.491, 299.14, 299.33, 0.000
4/28/2021, 8:47:30.377, 00:00:23, 299.439, 299.491, 299.12, 299.32, 0.000
4/28/2021, 8:47:32.649, 00:00:25, 299.440, 299.492, 299.10, 299.31, 0.000
4/28/2021, 8:47:34.938, 00:00:28, 299.440, 299.491, 299.07, 299.29, 0.000
4/28/2021, 8:47:37.225, 00:00:30, 299.440, 299.491, 299.05, 299.28, 0.000

4/28/2021, 8:52:14.732, 00:00:01, 299.440, 299.492, 299.09, 299.26, 0.000
4/28/2021, 8:52:17.019, 00:00:04, 299.440, 299.493, 299.09, 299.26, 0.000
4/28/2021, 8:52:19.291, 00:00:06, 299.440, 299.492, 299.09, 299.26, 0.000
4/28/2021, 8:52:21.579, 00:00:08, 299.440, 299.493, 299.08, 299.26, 0.000
4/28/2021, 8:52:23.866, 00:00:10, 299.440, 299.492, 299.08, 299.26, 0.000
4/28/2021, 8:52:26.146, 00:00:13, 299.440, 299.493, 299.08, 299.25, 0.000
4/28/2021, 8:52:28.432, 00:00:15, 299.439, 299.493, 299.06, 299.24, 0.000
4/28/2021, 8:52:30.719, 00:00:17, 299.440, 299.493, 299.06, 299.24, 0.000
4/28/2021, 8:52:33.008, 00:00:20, 299.440, 299.492, 299.05, 299.24, 0.000
4/28/2021, 8:52:35.294, 00:00:22, 299.440, 299.495, 299.02, 299.23, 0.000
4/28/2021, 8:52:37.584, 00:00:24, 299.440, 299.493, 298.99, 299.21, 0.000
4/28/2021, 8:52:39.864, 00:00:26, 299.440, 299.493, 298.97, 299.20, 0.000
4/28/2021, 8:52:42.154, 00:00:29, 299.440, 299.493, 298.96, 299.20, 0.000
4/28/2021, 8:52:44.443, 00:00:31, 299.439, 299.493, 298.95, 299.20, 0.000
4/28/2021, 8:52:46.731, 00:00:33, 299.440, 299.493, 298.90, 299.18, 0.000
4/28/2021, 8:52:49.019, 00:00:36, 299.440, 299.492, 298.86, 299.16, 0.000
4/28/2021, 8:52:51.307, 00:00:38, 299.440, 299.493, 298.84, 299.16, 0.000
4/28/2021, 8:52:53.589, 00:00:40, 299.440, 299.492, 298.83, 299.15, 0.000
4/28/2021, 8:52:55.879, 00:00:42, 299.440, 299.492, 298.78, 299.13, 0.000
4/28/2021, 8:52:58.151, 00:00:45, 299.439, 299.493, 298.72, 299.12, 0.000
4/28/2021, 8:53:00.439, 00:00:47, 299.439, 299.493, 298.70, 299.09, 0.000
4/28/2021, 8:53:02.720, 00:00:49, 299.440, 299.493, 298.50, 299.04, 0.000
4/28/2021, 8:53:05.007, 00:00:52, 299.439, 299.493, 298.29, 298.96, 0.000
4/28/2021, 8:53:07.294, 00:00:54, 299.440, 299.493, 298.06, 298.86, 0.000
4/28/2021, 8:53:09.574, 00:00:56, 299.439, 299.493, 297.86, 298.77, 0.000
4/28/2021, 8:53:11.863, 00:00:58, 299.439, 299.493, 297.68, 298.65, 0.000
4/28/2021, 8:53:16.442, 00:01:03, 299.440, 299.493, 297.47, 298.55, 0.000
4/28/2021, 8:53:18.731, 00:01:05, 299.439, 299.493, 297.42, 298.51, 0.000
4/28/2021, 8:53:21.019, 00:01:08, 299.439, 299.493, 297.40, 298.49, 0.000
4/28/2021, 8:53:23.307, 00:01:10, 299.439, 299.493, 297.42, 298.48, 0.000
4/28/2021, 8:53:25.588, 00:01:12, 299.439, 299.493, 297.45, 298.48, 0.000

4/28/2021, 8:57:51.752, 00:00:02, 299.428, 299.487, 298.36, 298.70, 0.000
4/28/2021, 8:57:54.039, 00:00:04, 299.429, 299.487, 298.36, 298.70, 0.000
4/28/2021, 8:57:56.321, 00:00:06, 299.428, 299.487, 298.36, 298.70, 0.000
4/28/2021, 8:57:58.608, 00:00:08, 299.428, 299.487, 298.36, 298.70, 0.000
4/28/2021, 8:58:00.887, 00:00:11, 299.428, 299.487, 298.34, 298.68, 0.000
4/28/2021, 8:58:03.175, 00:00:13, 299.428, 299.487, 298.28, 298.65, 0.000
4/28/2021, 8:58:05.457, 00:00:15, 299.428, 299.487, 298.17, 298.61, 0.000
4/28/2021, 8:58:07.743, 00:00:18, 299.428, 299.486, 298.01, 298.54, 0.000
4/28/2021, 8:58:10.031, 00:00:20, 299.428, 299.486, 297.82, 298.46, 0.000
4/28/2021, 8:58:12.318, 00:00:22, 299.428, 299.486, 297.60, 298.36, 0.000
4/28/2021, 8:58:14.607, 00:00:24, 299.428, 299.487, 297.35, 298.26, 0.000
4/28/2021, 8:58:16.895, 00:00:27, 299.428, 299.486, 297.08, 298.14, 0.000
4/28/2021, 8:58:19.176, 00:00:29, 299.428, 299.486, 296.80, 298.02, 0.000
4/28/2021, 8:58:21.449, 00:00:31, 299.428, 299.486, 296.52, 297.89, 0.000
4/28/2021, 8:58:23.737, 00:00:34, 299.428, 299.486, 296.23, 297.76, 0.000
4/28/2021, 8:58:26.010, 00:00:36, 299.428, 299.486, 295.94, 297.63, 0.000
4/28/2021, 8:58:28.291, 00:00:38, 299.428, 299.486, 295.65, 297.49, 0.000
4/28/2021, 8:58:30.579, 00:00:40, 299.428, 299.486, 295.37, 297.35, 0.000
4/28/2021, 8:58:32.851, 00:00:43, 299.427, 299.486, 295.08, 297.20, 0.000
4/28/2021, 8:58:35.138, 00:00:45, 299.427, 299.486, 294.80, 297.06, 0.000
4/28/2021, 8:58:37.424, 00:00:47, 299.427, 299.486, 294.51, 296.91, 0.000
4/28/2021, 8:58:39.706, 00:00:50, 299.427, 299.486, 294.08, 296.76, 0.000
4/28/2021, 8:58:41.978, 00:00:52, 299.427, 299.485, 293.81, 296.62, 0.000
4/28/2021, 8:58:44.264, 00:00:54, 299.427, 299.485, 293.53, 296.47, 0.000
4/28/2021, 8:58:46.551, 00:00:56, 299.427, 299.488, 293.26, 296.32, 0.000
4/28/2021, 8:58:48.818, 00:00:59, 299.427, 299.485, 292.99, 296.17, 0.000
4/28/2021, 8:58:51.100, 00:01:01, 299.426, 299.486, 292.73, 296.03, 0.000
4/28/2021, 8:58:53.390, 00:01:03, 299.426, 299.485, 292.47, 295.88, 0.000
4/28/2021, 8:58:55.677, 00:01:06, 299.426, 299.485, 292.22, 295.73, 0.000
4/28/2021, 8:58:57.964, 00:01:08, 299.425, 299.485, 291.97, 295.58, 0.000
4/28/2021, 8:59:00.252, 00:01:10, 299.425, 299.485, 291.73, 295.44, 0.000
4/28/2021, 8:59:02.523, 00:01:12, 299.425, 299.485, 291.48, 295.29, 0.000
4/28/2021, 8:59:04.806, 00:01:15, 299.424, 299.485, 291.23, 295.14, 0.000
4/28/2021, 8:59:07.093, 00:01:17, 299.424, 299.485, 290.99, 294.99, 0.000
4/28/2021, 8:59:09.365, 00:01:19, 299.424, 299.485, 290.75, 294.85, 0.000
4/28/2021, 8:59:11.651, 00:01:22, 299.423, 299.485, 290.51, 294.70, 0.000
4/28/2021, 8:59:13.939, 00:01:24, 299.423, 299.485, 290.27, 294.55, 0.000
4/28/2021, 8:59:16.219, 00:01:26, 299.422, 299.485, 290.03, 294.41, 0.000
4/28/2021, 8:59:18.491, 00:01:28, 299.422, 299.484, 289.79, 294.26, 0.000
4/28/2021, 8:59:20.779, 00:01:31, 299.421, 299.485, 289.56, 294.12, 0.000
4/28/2021, 8:59:23.066, 00:01:33, 299.420, 299.484, 289.33, 293.97, 0.000
4/28/2021, 8:59:25.354, 00:01:35, 299.420, 299.484, 289.10, 293.83, 0.000
4/28/2021, 8:59:27.635, 00:01:38, 299.419, 299.484, 288.87, 293.69, 0.000
4/28/2021, 8:59:29.923, 00:01:40, 299.418, 299.484, 288.65, 293.54, 0.000
4/28/2021, 8:59:32.194, 00:01:42, 299.418, 299.484, 288.42, 293.40, 0.000
4/28/2021, 8:59:34.481, 00:01:44, 299.417, 299.484, 288.19, 293.25, 0.000
